step,residual_std
1,101.28582815510194
2,117.56302290064625
3,125.48638422720366
4,127.04488455282531
5,119.65649902855941
6,110.55408797830556
7,110.16847843049851
8,120.36964768319939
9,133.53129926740962
10,140.3886045638562
11,143.0747350553065
12,141.12456785103728
13,135.4708284105825
14,135.12100063144095
15,145.26799353767967
16,154.951417947263
17,159.76468331161843
18,162.14542974687038
19,159.57327496608218
20,156.45817117160215
21,156.64577569058707
22,164.7891062121013
23,173.2507266465698
24,175.69834754955613
25,178.0544917947531
26,176.06437389841665
27,174.03822779607577
28,171.32800435801857
