date,year,month,day,rha,ra,psa,wsa,wd,ta,da,max_ta,min_ta,confirm_dengue
1/1/2022,2022,1,1,81.19698413,0.004603175,101.1831746,2.027460317,275.131746,17.30095238,13.81380952,22.63142857,13.49634921,4
1/2/2022,2022,1,2,81.07603175,0,101.032381,1.996507937,287.8460317,16.92746032,13.49857143,22.2031746,12.40031746,11
1/3/2022,2022,1,3,80.06746032,0,100.9125397,1.822857143,275.7349206,17.08412698,13.4152381,22.45444444,12.71365079,29
1/4/2022,2022,1,4,78.28412698,0,100.9755556,1.86,246.052381,16.60634921,12.51301587,22.28698413,12.15650794,4
1/5/2022,2022,1,5,76.41492063,0,100.911746,1.757142857,292.2253968,16.85095238,12.36571429,22.68650794,11.34507937,4
1/6/2022,2022,1,6,74.38777778,0,100.8619048,1.471587302,273.3507937,17.6847619,12.74746032,23.30015873,12.23793651,9
1/7/2022,2022,1,7,76.43031746,0,100.927619,1.657619048,230.8,18.21126984,13.7352381,23.62793651,13.16761905,1
1/8/2022,2022,1,8,80.17222222,0,100.9071429,1.623333333,256.5412698,18.63587302,14.93111111,24.25142857,13.52555556,2
1/9/2022,2022,1,9,79.36555556,0,100.7233333,1.295396825,226.7555556,19.31746032,15.45968254,24.42809524,14.18444444,7
1/10/2022,2022,1,10,78.70793651,0,100.7650794,1.262698413,246.2095238,19.86555556,15.85333333,24.67698413,15.14174603,3
1/11/2022,2022,1,11,81.77634921,1.401904762,100.7720635,1.359047619,227.9952381,19.73015873,16.33984127,24.44539683,15.32079365,3
1/12/2022,2022,1,12,85.38126984,3.960793651,100.7504762,1.373015873,154.4349206,19.07253968,16.42111111,22.87571429,15.9915873,14
1/13/2022,2022,1,13,83.69412698,3.303174603,100.8587302,1.653650794,201.2650794,18.41634921,15.45507937,22.30095238,15.00174603,3
1/14/2022,2022,1,14,79.31587302,2.713968254,100.9012698,2.03984127,89.74126984,17.40126984,13.51047619,21.56809524,13.67730159,1
1/15/2022,2022,1,15,75.76650794,0.668571429,100.8506349,2.046190476,242.6190476,17.39190476,12.73777778,22.79904762,13.24650794,5
1/16/2022,2022,1,16,77.98666667,0.042380952,101.0285714,2.621746032,295.5555556,16.72396825,12.5252381,22.50031746,12.31190476,2
1/17/2022,2022,1,17,78.2931746,0,101.0952381,2.015396825,284.1507937,16.38190476,12.23746032,22.7415873,11.02269841,2
1/18/2022,2022,1,18,77.20333333,0,100.8736508,1.646349206,275.5857143,17.00412698,12.67333333,22.73063492,12.06015873,4
1/19/2022,2022,1,19,76.25047619,0.009206349,100.6630159,1.492063492,284.6126984,17.49126984,12.96634921,22.66936508,13.34730159,7
1/20/2022,2022,1,20,74.75190476,0.039365079,100.4353968,1.358253968,265.6238095,17.0084127,12.17603175,21.74301587,12.79095238,1
1/21/2022,2022,1,21,68.00809524,0.138888889,100.4671429,0.981587302,195.0619048,17.95333333,11.67269841,22.69952381,13.58920635,0
1/22/2022,2022,1,22,73.38460317,0.205873016,100.3911111,1.247777778,118.1968254,18.06936508,12.96809524,22.91301587,13.47428571,0
1/23/2022,2022,1,23,77.93269841,0.603174603,100.4012698,1.464920635,116.9444444,18.58380952,14.41571429,23.61507937,14.22063492,2
1/24/2022,2022,1,24,85.50730159,3.004761905,100.4020635,1.703174603,111.7714286,18.53269841,15.92603175,22.10650794,15.48857143,3
1/25/2022,2022,1,25,80.38142857,2.09015873,100.4438095,1.399365079,191.9603175,18.69634921,15.01825397,22.77571429,15.1268254,1
1/26/2022,2022,1,26,78.1247619,1.300952381,100.562381,1.143174603,199.2412698,18.36619048,14.26063492,22.49396825,14.64634921,0
1/27/2022,2022,1,27,76.74507937,2.043333333,100.6501587,1.93952381,307.9333333,16.89507937,12.47603175,21.55095238,13.0631746,1
1/28/2022,2022,1,28,71.63873016,0.564444444,100.8350794,2.087619048,307.3746032,14.97777778,9.405079365,20.43587302,10.51269841,2
1/29/2022,2022,1,29,71.88428571,0.00015873,100.8203175,1.986666667,320.0730159,14.45873016,9.027936508,20.2047619,9.723333333,0
1/30/2022,2022,1,30,69.16555556,0.00015873,100.564127,1.772380952,279.3365079,15.31253968,9.182063492,21.08285714,9.935238095,0
1/31/2022,2022,1,31,66.09634921,0,100.5157143,1.335079365,199.6603175,16.71984127,9.973968254,22.30126984,11.4215873,1
2/1/2022,2022,2,1,74.29968254,0.39,100.3652381,1.656825397,216.968254,17.26809524,12.28888889,22.7452381,12.10619048,0
2/2/2022,2022,2,2,69.45507937,0.497619048,100.5595238,1.113650794,228.6698413,18.36142857,12.11888889,23.91507937,13.17825397,2
2/3/2022,2022,2,3,74.85444444,0.292380952,100.5812698,1.77984127,130.852381,18.6615873,13.77650794,24.47666667,13.28936508,2
2/4/2022,2022,2,4,81.91873016,18.29095238,100.372381,2.73984127,148.9873016,19.28174603,15.94666667,23.70507937,15.42253968,0
